thana_id,thana_code,thana_id_legacy,thana_name,thana_name_bn,district_id,city_corp
1,"",,None,নির্বাচন করুন,1,
2,4041,404104,Abhaynagar,অভয়নগর,24,
3,9994,999401,Abu Dhabi,আবু ধাবি,1,
4,3026,302602,Adabor,আদাবর,14,N
5,5010,501006,Adamdighi,আদমদীঘি,7,
6,5552,555202,Aditmari,আদিতমারী,33,
7,1006,100602,Agailjhara,আগাইলঝাড়া,5,
8,6036,603602,Ajmiriganj,আজমিরীগঞ্জ,21,
9,2012,201202,Akhaura,আখাউড়া,8,
10,5038,503813,Akkelpur,আক্কেলপুর,22,
11,4018,401807,Alamdanga,আলমডাঙ্গা,11,
12,3029,302903,Alfadanga,আলফাডাঙ্গা,16,
13,2003,200304,Alikadam,আলীকদম,3,
14,1004,100409,Amtali,আমতলী,4,
15,2015,201504,Anowara,আনোয়ারা,10,
16,3067,306702,Araihazar,আড়াইহাজার,43,
17,2012,201233,Ashuganj,আশুগঞ্জ,8,
18,4087,408704,Assasuni,আসাসুনি,59,
19,5076,507605,Atgharia,আটঘরিয়া,50,
20,4572,457204,Atpara,আটপাড়া,47,
21,5064,506403,Atrai,আত্রাই,41,
22,5577,557704,Atwari,আটোয়ারী,51,
23,3048,304802,Austagram,অষ্টগ্রাম,29,
24,1006,100603,Babuganj,বাবুগঞ্জ,5,
25,5064,506406,Badalgachhi,বদলগাছী,41,
26,5585,558503,Badarganj,বদরগঞ্জ,57,
27,3026,302604,Badda,বাড্ডা,14,N
28,5069,506909,Bagatipara,বাগাতিপাড়া,45,
29,4001,400108,Bagerhat Sadar,বাগেরহাট সদর,2,
30,5081,508110,Bagha,বাঘা,54,
31,2084,208407,Baghaichhari,বাঘাইছড়ি,56,
32,4041,404109,Bagher Para,বাঘের পাড়া,24,
33,5081,508112,Baghmara,বাঘমারা,54,
34,6036,603605,Bahubal,বাহুবল,21,
35,3048,304806,Bajitpur,বাজিতপুর,29,
36,2015,201510,Bakalia,বাকালিয়া,10,
37,1006,100607,Bakerganj,বাকেরগঞ্জ,5,
38,4539,453907,Bakshiganj,বকশীগঞ্জ,23,
39,6091,609108,Balaganj,বালাগঞ্জ,63,
40,5594,559408,Baliadangi,বালিয়াডাঙ্গী,66,
41,3082,308207,Baliakandi,বালিয়াকান্দি,55,
42,1004,100419,Bamna,বামনা,4,
43,3026,302607,Banani,বনানী,14,N
44,1006,100610,Banari Para,বানারী পাড়া,5,
45,2012,201204,Banchharampur,বাঞ্ছারামপুর,8,
46,3067,306706,Bandar,বান্দর,43,
47,2003,200314,Bandarban Sadar,বান্দরবান সদর,3,
48,3026,302605,Bangshal,বংশাল,14,S
49,6036,603611,Baniachong,বানিয়াচং,21,
50,2015,201508,Banshkhali,বাঁশখালী,10,
51,5069,506915,Baraigram,বড়াইগ্রাম,45,
52,1004,100428,Barguna Sadar,বরগুনা সদর,4,
53,4572,457209,Barhatta,বারহাট্টা,47,
54,1006,100651,Barisal Sadar (Kotwali),বরিশাল সদর (কোতয়ালী),5,
55,2084,208421,Barkal Upazila,বরকল উপজেলা,56,
56,6058,605814,Barlekha,বড়লেখা,38,
57,2019,201909,Barura,বরুড়া,12,
58,3093,309309,Basail,বাসাইল,64,
59,3033,303315,BASAN,বাসন,19,
60,4047,404712,Batiaghata,বটিয়াঘাটা,28,
61,1078,107838,Bauphal,বাউফল,52,
62,2015,201506,Bayejid Bostami,বায়েজিদ বোস্তামী,10,
63,6091,609117,Beani Bazar,বিয়ানী বাজার,63,
64,2075,207507,Begumganj,বেগমগঞ্জ,49,
65,3068,306807,Belabo,বেলাবো,44,
66,2084,208429,Belai Chhari  Upazi,বেলাই ছড়ি উপজেলা,56,
67,5088,508811,Belkuchi,বেলকুচি,60,
68,5076,507616,Bera,বেরা,50,
69,1004,100447,Betagi,বেতাগী,4,
70,3048,304811,Bhairab,ভৈরব,29,
71,4561,456113,Bhaluka,ভালুকা,40,
72,1079,107914,Bhandaria,ভান্ডারিয়া,53,
73,3029,302910,Bhanga,ভাঙ্গা,16,
74,5076,507619,Bhangura,ভাঙ্গুড়া,50,
75,3026,302621,Bhasan Tek,ভাসান টেক,14,N
76,3026,302622,Bhatara,ভাটারা,14,N
77,3086,308614,Bhedarganj,ভেদরগঞ্জ,58,
78,4050,405015,Bheramara,ভেড়ামারা,31,
79,1009,100918,Bhola Sadar,ভোলা সদর,6,
80,5070,507018,Bholahat,ভোলাহাট,46,
81,3093,309319,Bhuapur,ভূয়াপুর,64,
82,5549,554906,Bhurungamari,ভূরুঙ্গামারী,30,
83,2012,201207,Bijoynagar,বিজয়নগর,8,
84,3026,302606,Biman Bandar,বিমান বন্দর,14,N
85,5527,552717,Biral,বিরল,15,
86,5527,552710,Birampur,বিরামপুর,15,
87,5527,552712,Birganj,বীরগঞ্জ,15,
88,6090,609018,Bishwambarpur,বিশ্বম্ভরপুর,62,
89,6091,609120,Bishwanath,বিশ্বনাথ,63,
90,5081,508122,Boalia,বোয়ালিয়া,54,
91,2015,201512,Boalkhali,বোয়ালখালী,10,
92,3029,302918,Boalmari,বোয়ালমারী,16,
93,5527,552721,Bochaganj,বোচাগঞ্জ,15,
94,5577,557725,Boda,বোদা,51,
95,5010,501020,Bogra Sadar,বগুড়া সদর,7,
96,2019,201915,Brahman Para,ব্রাহ্মণ পাড়া,12,
97,2012,201213,Brahmanbaria Sadar,ব্রাহ্মণবাড়িয়া সদর,8,
98,1009,100921,Burhanuddin,বুরহানউদ্দিন,6,
99,2019,201918,Burichang,বুড়িচং,12,
100,3026,302608,Cantonment,ক্যান্টনমেন্ট,14,N
101,3026,302609,Chak Bazar,চক বাজার,14,S
102,2022,202216,Chakaria,চকরিয়া,13,
103,2015,201516,CHALK BAZAR,চক বাজার,10,
104,2015,201518,Chandanaish,চন্দনাইশ,10,
105,2015,201519,Chandgaon,চান্দগাঁও,10,
106,2019,201927,Chandina,চান্দিনা,12,
107,2013,201322,Chandpur Sadar,চাঁদপুর সদর,9,
108,5070,507066,Chapai Nawabganj Sadar,চাঁপাই নবাবগঞ্জ সদর,46,
109,3029,302921,Char Bhadrasan,চর ভদ্রাসন,16,
110,1009,100925,Char Fasson,চর ফাসন,6,
111,5549,554908,Char Rajibpur,চর রাজিবপুর,30,
112,5081,508125,Charghat,চারঘাট,54,
113,2075,207510,Chatkhil,চাটখিল,49,
114,5076,507622,Chatmohar,চাটমোহর,50,
115,2019,201931,Chauddagram,চৌদ্দগ্রাম,12,
116,4041,404111,Chaugachha,চৌগাছা,24,
117,5088,508827,Chauhali,চৌহালী,60,
118,2030,203014,Chhagalnaiya,ছাগলনাইয়া,17,
119,6090,609023,Chhatak,ছাতক,62,
120,5549,554909,Chilmari,চিলমারী,30,
121,5527,552730,Chirirbandar,চিরিরবন্দর,15,
122,4001,400114,Chitalmari,চিতলমারী,2,
123,2015,201520,Chittagong Port,চট্টগ্রাম বন্দর,10,
124,4018,401823,Chuadanga Sadar,চুয়াডাঙ্গা সদর,11,
125,6036,603626,Chunarughat,চুনারুঘাট,21,
126,2019,201967,Comilla Adarsha Sadar,কুমিল্লা আদর্শ সদর,12,
127,2019,201933,Comilla Sadar Dakshin,কুমিল্লা সদর দক্ষিণ,12,
128,2075,207521,Companiganj,কোম্পানীগঞ্জ,49,
129,6091,609127,Companiganj,কোম্পানীগঞ্জ,63,
130,2022,202224,Cox'S Bazar Sadar,কক্সবাজার সদর,13,
131,4047,404717,Dacope,দাকোপ,28,
132,2030,203025,Daganbhuiyan,দাগনভূঁইয়া,17,
133,6090,609027,Dakshin Sunamganj,দক্ষিণ সুনামগঞ্জ,62,
134,6091,609131,Dakshin Surma,দক্ষিণ সুরমা,63,
135,3026,302610,Dakshinkhan,দক্ষিণখান,14,N
136,3086,308625,Damudya,ডামুড্যা,58,
137,4018,401831,Damurhuda,দামুড়হুদা,11,
138,3026,302611,Darus Salam,দারুস সালাম,14,N
139,1078,107852,Dashmina,দশমিনা,52,
140,2019,201936,Daudkandi,দাউদকান্দি,12,
141,1009,100929,Daulat Khan,দৌলত খান,6,
142,4047,404721,Daulatpur,দৌলতপুর,28,
143,4050,405039,Daulatpur,দৌলতপুর,31,
144,3056,305610,Daulatpur,দৌলতপুর,36,
145,4087,408725,Debhata,দেবহাটা,59,
146,2019,201940,Debidwar,দেবিদ্বার,12,
147,5577,557734,Debiganj,দেবীগঞ্জ,51,
148,3093,309323,Delduar,দেলদুয়ার,64,
149,3026,302612,Demra,ডেমরা,14,S
150,6090,609029,Derai,ডেরাই,62,
151,4539,453915,Dewanganj,দেওয়ানগঞ্জ,23,
152,5064,506428,Dhamoirhat,ধামইরহাট,41,
153,3026,302614,Dhamrai,ধামরাই,14,
154,3093,309325,Dhanbari,ধনবাড়ী,64,
155,3026,302616,Dhanmondi,ধানমন্ডি,14,S
156,6090,609032,Dharampasha,ধরমপাশা,62,
157,4561,456116,Dhobaura,ধোবাউড়া,40,
158,5010,501027,Dhunat,ধুনট,7,
159,5010,501033,Dhupchanchia,ধুপচাঁচিয়া,7,
160,4047,404740,Dighalia,দিঘলিয়া,28,
161,2046,204643,Dighinala,দীঘিনালা,27,
162,5573,557312,Dimla Upazila,ডিমলা উপজেলা,48,
163,5527,552764,Dinajpur Sadar,দিনাজপুর সদর,15,
164,9995,999501,Doha,দোহা,68,
165,3026,302618,Dohar,দোহার,14,
166,5573,557315,Domar Upazila,ডোমার উপজেলা,48,
167,2015,201528,Double Mooring,ডবলমুরিং,10,
168,6090,609033,Dowarabazar,দোয়ারাবাজার,62,
169,1078,107855,Dumki Upazila,দুমকি উপজেলা,52,
170,4047,404730,Dumuria,ডুমুরিয়া,28,
171,5081,508131,Durgapur,দুর্গাপুর,54,
172,4572,457218,Durgapur,দুর্গাপুর,47,
173,4001,400134,Fakirhat,ফকিরহাট,2,
174,2013,201345,Faridganj,ফরিদগঞ্জ,9,
175,5076,507633,Faridpur,ফরিদপুর,50,
176,3029,302947,Faridpur Sadar,ফরিদপুর সদর,16,
177,2015,201533,Fatikchhari,ফটিকছড়ি,10,
178,6091,609135,Fenchuganj,ফেঞ্চুগঞ্জ,63,
179,2030,203029,Feni Sadar,ফেনী সদর,17,
180,5527,552738,Fulbari,ফুলবাড়ি,15,
181,4561,456120,Fulbaria,ফুলবাড়িয়া,40,
182,5532,553221,Fulchhari,ফুলছড়ি,18,
183,2030,203041,Fulgazi,ফুলগাজী,17,
184,5010,501040,Gabtali,গাবতলী,7,
185,3033,303318,GACHHA,গাছা,19,
186,4561,456122,Gaffargaon,গফরগাঁও,40,
187,5532,553224,Gaibandha Sadar,গাইবান্ধা সদর,18,
188,1078,107857,Galachipa,গলাচিপা,52,
189,5585,558527,Gangachara,গঙ্গাচড়া,57,
190,4057,405747,Gangni,গাংনী,37,
191,4561,456123,Gauripur,গৌরীপুর,40,
192,1006,100632,Gaurnadi,গৌরনদী,5,
193,3059,305924,Gazaria,গজারিয়া,39,
194,3033,303330,Gazipur Sadar,গাজীপুর সদর,19,
195,3026,302624,Gendaria,গেন্ডারিয়া,14,S
196,3093,309328,Ghatail,ঘাটাইল,64,
197,3056,305622,Ghior,ঘিওর,36,
198,5527,552743,Ghoraghat,ঘোড়াঘাট,15,
199,3082,308229,Goalanda,গোয়ালন্দ,55,
200,5532,553230,Gobindaganj,গোবিন্দগঞ্জ,18,
201,5081,508134,Godagari,গোদাগাড়ী,54,
202,6091,609138,Golapganj,গোলাপগঞ্জ,63,
203,5070,507037,Gomastapur,গোমস্তাপুর,46,
204,3035,303532,Gopalganj Sadar,গোপালগঞ্জ সদর,20,
205,3093,309338,Gopalpur,গোপালপুর,64,
206,3086,308636,Gosairhat,গোসাইরহাট,58,
207,6091,609141,Gowainghat,গোয়াইনঘাট,63,
208,2046,204647,Guimara,গুইমারা,27,
209,3026,302626,Gulshan,গুলশান,14,N
210,5069,506941,Gurudaspur,গুরুদাসপুর,45,
211,6036,603644,Habiganj Sadar,হবিগঞ্জ সদর,21,
212,2013,201347,Haim Char,হাইম চর,9,
213,2013,201349,Hajiganj,হাজীগঞ্জ,9,
214,5527,552747,Hakimpur,হাকিমপুর,15,
215,2015,201535,Halishahar,হালিশহর,10,
216,4561,456124,Haluaghat,হালুয়াঘাট,40,
217,5594,559451,Haripur,হরিপুর,66,
218,3056,305628,Harirampur,হরিরামপুর,36,
219,2015,201537,Hathazari,হাটহাজারী,10,
220,5552,555233,Hatibandha,হাতীবান্ধা,33,
221,2075,207536,Hatiya,হাতিয়া,49,
222,3026,302628,Hazaribagh,হাজারীবাগ,14,S
223,1006,100636,Hizla,হিজলা,5,
224,2019,201954,Homna,হোমনা,12,
225,4044,404414,Horinakunda,হরিণাকুণ্ড,26,
226,3048,304827,Hossainpur,হোসেনপুর,29,
227,1079,107990,Indurkani,ইন্দুরকানি,53,
228,5076,507639,Ishwardi,ঈশ্বরদী,50,
229,4561,456131,Ishwarganj,ঈশ্বরগঞ্জ,40,
230,4539,453929,Islampur,ইসলামপুর,23,
231,3048,304833,Itna,ইতনা,29,
232,6090,609047,Jagannathpur,জগন্নাথপুর,62,
233,6091,609153,Jaintiapur,জৈন্তাপুর,63,
234,5573,557336,Jaldhaka Upazila,জলঢাকা উপজেলা,48,
235,6090,609050,Jamalganj,জামালগঞ্জ,62,
236,4539,453936,Jamalpur Sadar,জামালপুর সদর,23,
237,3026,302629,Jatrabari,যাত্রাবাড়ী,14,S
238,9996,999602,Jedda,জেদ্দা,69,
239,1042,104240,Jhalokati Sadar,ঝালকাঠি সদর,25,
240,4044,404419,Jhenaidah Sadar,ঝিনাইদহ সদর,26,
241,4589,458937,Jhenaigati,ঝিনাইগাতী,61,
242,4041,404123,Jhikargachha,ঝিকরগাছা,24,
243,4018,401855,Jiban Nagar,জীবন নগর,11,
244,5038,503847,Joypurhat Sadar,জয়পুরহাট সদর,22,
245,2084,208447,Jurai Chhari Upazil,জুরাই ছড়ি উপজেলার মো,56,
246,6058,605835,Juri,জুরি,38,
247,2075,207547,Kabirhat,কবিরহাট,49,
248,4001,400138,Kachua,কচুয়া,2,
249,2013,201358,Kachua,কচুয়া,9,
250,3026,302632,Kadamtali,কদমতলী,14,S
251,3026,302630,Kafrul,কাফরুল,14,N
252,5010,501054,Kahaloo,কাহালু,7,
253,5527,552756,Kaharole,কাহারোল,15,
254,1078,107866,Kala Para,কালা পাড়া,52,
255,3026,302633,Kalabagan,কলাবাগান,14,S
256,5038,503858,Kalai,কালাই,22,
257,4087,408743,Kalaroa,কলারোয়া,59,
258,4065,406528,Kalia,কালিয়া,42,
259,3033,303332,Kaliakair,কালিয়াকৈর,19,
260,3033,303334,Kaliganj,কালীগঞ্জ,19,
261,5552,555239,Kaliganj,কালীগঞ্জ,33,
262,4044,404433,Kaliganj,কালীগঞ্জ,26,
263,4087,408747,Kaliganj,কালীগঞ্জ,59,
264,3093,309347,Kalihati,কালিহাতী,64,
265,3054,305440,Kalkini,কালকিনি,34,
266,4572,457240,Kalmakanda,কলমাকান্দা,47,
267,3082,308247,Kalukhali,কালুখালী,55,
268,6058,605856,Kamalganj,কমলগঞ্জ,38,
269,2051,205133,Kamalnagar,কমলনগর,32,
270,5088,508844,Kamarkhanda,কামারখন্দা,60,
271,3026,302634,Kamrangir Char,কামরাঙ্গীর চর,14,S
272,6091,609159,Kanaighat,কানাইঘাট,63,
273,1042,104243,Kanthalia,কাঁথালিয়া,25,
274,3033,303336,Kapasia,কাপাসিয়া,19,
275,2084,208436,Kaptai  Upazila,কাপ্তাই উপজেলা,56,
276,3048,304842,Karimganj,করিমগঞ্জ,29,
277,2015,201539,Karnaphuli Upazila,কর্ণফুলী উপজেলা,10,
278,2012,201263,Kasba,কসবা,8,
279,3035,303543,Kashiani,কাশিয়ানী,20,
280,3048,304845,Katiadi,কটিয়াদি,29,
281,5585,558542,Kaunia,কাউনিয়া,57,
282,1079,107947,Kawkhali,কাউখালী,53,
283,2084,208425,Kawkhali (Betbunia),কাউখালী (বেতবুনিয়া),56,
284,5088,508850,Kazipur,কাজিপুর,60,
285,4572,457247,Kendua,কেন্দুয়া,47,
286,3026,302638,Keraniganj,কেরানীগঞ্জ,14,
287,4041,404138,Keshabpur,কেশবপুর,24,
288,2046,204649,Khagrachhari Sadar,খাগড়াছড়ি সদর,27,
289,4572,457238,Khaliajuri,খালিয়াজুরী,47,
290,4047,404745,Khalishpur,খালিশপুর,28,
291,4047,404748,Khan Jahan Ali,খান জাহান আলী,28,
292,5527,552760,Khansama,খানসামা,15,
